Dataset,Model,Type,4-shot-auc,8-shot-auc,16-shot-auc,32-shot-auc,64-shot-auc,128-shot-auc,256-shot-auc,512-shot-auc,4-shot-std,8-shot-std,16-shot-std,32-shot-std,64-shot-std,128-shot-std,256-shot-std,512-shot-std
California,TabPFN,Ordered,0.689,0.72,0.791,0.844,0.892,0.906,0.918,0.931,0.107,0.0577,0.0796,0.0298,0.0196,0.00791,0.00506,0.00285
California,TabPFN,Onehot,0.684,0.712,0.789,0.839,0.881,0.904,0.916,0.929,0.113,0.0866,0.0947,0.0274,0.0197,0.00863,0.00495,0.00172
California,TabLLM,As-is,0.63,0.6,0.7,0.77,0.77,0.81,0.83,0.86,0.05,0.07,0.08,0.08,0.04,0.02,0.01,0.02
Credit-G,XGBoost,Raw,0.5,0.551,0.589,0.643,0.683,0.71,0.741,0.764,0,0.0796,0.067,0.0531,0.0326,0.0272,0.0187,0.0327
Credit-G,XGBoost,Ordered,0.5,0.553,0.596,0.651,0.684,0.716,0.743,0.769,0,0.0823,0.0656,0.0467,0.0333,0.0242,0.0193,0.035
Credit-G,XGBoost,Onehot,0.5,0.549,0.585,0.644,0.681,0.714,0.746,0.77,0,0.0725,0.0636,0.0495,0.0322,0.022,0.0178,0.0344
Credit-G,LightGBM,Raw,0.5,0.5,0.5,0.5,0.679,0.726,0.744,0.769,0,0,0,0,0.0461,0.0199,0.018,0.0331
Credit-G,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.687,0.726,0.754,0.774,0,0,0,0,0.0427,0.021,0.0164,0.0329
Credit-G,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.66,0.712,0.743,0.773,0,0,0,0,0.0528,0.0208,0.0214,0.0315
Credit-G,LR,Raw,0.555,0.579,0.6,0.629,0.66,0.703,0.721,0.737,0.0608,0.0624,0.0517,0.0469,0.036,0.0209,0.016,0.0299
Credit-G,LR,Ordered,0.575,0.606,0.622,0.681,0.694,0.741,0.751,0.764,0.0746,0.0675,0.0595,0.0431,0.0397,0.0156,0.0148,0.0346
Credit-G,LR,Onehot,0.56,0.586,0.613,0.659,0.693,0.745,0.765,0.787,0.0603,0.0575,0.0549,0.0472,0.0362,0.0188,0.0186,0.0317
Credit-G,LR,Biased,0.713,0.714,0.713,0.718,0.723,0.734,0.741,0.748,0.0118,0.0135,0.0171,0.0133,0.0144,0.0127,0.0169,0.0337
Credit-G,LR,Monotonic,0.7,0.695,0.682,0.699,0.702,0.731,0.749,0.757,0.0227,0.0306,0.0336,0.0275,0.0258,0.019,0.0151,0.0359
Credit-G,TabPFN,Raw,0.549,0.556,0.601,0.635,0.67,0.709,0.728,0.751,0.0598,0.0677,0.0445,0.042,0.0259,0.0197,0.0219,0.0327
Credit-G,TabPFN,Ordered,0.601,0.573,0.623,0.673,0.704,0.735,0.755,0.764,0.0515,0.0779,0.0614,0.0388,0.0333,0.0259,0.0137,0.0341
Credit-G,TabPFN,Onehot,0.591,0.58,0.634,0.679,0.708,0.744,0.771,0.786,0.0412,0.072,0.0579,0.0379,0.0266,0.0192,0.014,0.0336
Credit-G,TabLLM,As-is,0.69,0.66,0.66,0.72,0.7,0.71,0.72,0.72,0.04,0.04,0.05,0.06,0.07,0.07,0.03,0.02
Heart,XGBoost,Raw,0.5,0.653,0.809,0.852,0.879,0.903,0.919,0.926,0,0.114,0.0679,0.0351,0.0221,0.0121,0.00851,0.0118
Heart,XGBoost,Ordered,0.5,0.653,0.814,0.848,0.879,0.902,0.919,0.925,0,0.115,0.0638,0.0417,0.0221,0.0118,0.00848,0.0122
Heart,XGBoost,Onehot,0.5,0.653,0.811,0.85,0.882,0.901,0.92,0.924,0,0.114,0.0665,0.0386,0.0188,0.0121,0.008,0.0115
Heart,LightGBM,Raw,0.5,0.5,0.5,0.5,0.881,0.906,0.921,0.926,0,0,0,0,0.0214,0.0107,0.00815,0.0123
Heart,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.881,0.907,0.92,0.925,0,0,0,0,0.0215,0.0104,0.00872,0.0126
Heart,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.885,0.907,0.92,0.926,0,0,0,0,0.0167,0.0108,0.00778,0.0122
Heart,LR,Raw,0.785,0.832,0.847,0.865,0.899,0.905,0.909,0.911,0.121,0.0707,0.0751,0.0424,0.0089,0.00507,0.00644,0.0114
Heart,LR,Ordered,0.788,0.832,0.853,0.864,0.9,0.906,0.91,0.911,0.127,0.081,0.0567,0.0448,0.0111,0.00523,0.00643,0.0116
Heart,LR,Onehot,0.785,0.832,0.859,0.869,0.905,0.911,0.92,0.924,0.123,0.0846,0.0562,0.0422,0.0114,0.00834,0.0073,0.0106
Heart,LR,Biased,0.832,0.841,0.85,0.864,0.875,0.886,0.898,0.905,0.0212,0.0259,0.0185,0.0169,0.0125,0.00956,0.00798,0.0139
Heart,LR,Monotonic,0.842,0.856,0.872,0.884,0.9,0.915,0.925,0.928,0.0398,0.0343,0.0332,0.0176,0.0131,0.00849,0.00793,0.0121
Heart,TabPFN,Raw,0.809,0.859,0.889,0.889,0.91,0.916,0.923,0.925,0.0704,0.0387,0.0148,0.0145,0.00504,0.00485,0.0054,0.00907
Heart,TabPFN,Ordered,0.826,0.863,0.887,0.89,0.908,0.915,0.92,0.925,0.0625,0.0385,0.0157,0.0172,0.00468,0.0051,0.00454,0.0128
Heart,TabPFN,Onehot,0.851,0.876,0.886,0.891,0.914,0.919,0.925,0.927,0.0401,0.0277,0.0179,0.0122,0.00541,0.00508,0.00324,0.0116
Heart,TabLLM,As-is,0.76,0.83,0.87,0.87,0.91,0.9,0.92,0.92,0.14,0.05,0.04,0.06,0.01,0.01,0.01,0.01
Jungle,XGBoost,Raw,0.5,0.582,0.694,0.754,0.798,0.83,0.876,0.905,0,0.0845,0.0612,0.0397,0.0279,0.0229,0.00912,0.00571
Jungle,XGBoost,Ordered,0.5,0.582,0.694,0.754,0.798,0.83,0.876,0.905,0,0.0845,0.0612,0.0397,0.0279,0.0229,0.00912,0.00571
Jungle,XGBoost,Onehot,0.5,0.582,0.694,0.754,0.798,0.83,0.876,0.905,0,0.0845,0.0612,0.0397,0.0279,0.0229,0.00912,0.00571
